FY,Fiscal Quarter,Fiscal Week,LOB,Category,Region,Business Unit,Warranty Type,Core/Upsell,Service Type,GCFA Type,W/O Type,Series,ASU,APOS,Renewals,Expiring,New Contract,APOS Renewal,Dispatches,SRs
FY22,2022-Q2,2022-W17,Server Line A,Server,Americas,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,975086,780069,195017,0,23499,883,807,1337
FY22,2022-Q2,2022-W18,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,970634,776507,194127,9739,4224,1063,595,1363
FY22,2022-Q2,2022-W19,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,978754,783003,195751,0,7116,1004,680,1350
FY22,2022-Q2,2022-W20,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,940601,752481,188120,43449,4549,747,657,1167
FY22,2022-Q2,2022-W21,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,998001,798401,199600,0,56737,663,786,1153
FY22,2022-Q2,2022-W22,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,953685,762948,190737,48308,3328,664,711,1184
FY22,2022-Q2,2022-W23,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,Unknown,Break fix,Actual,1012089,809671,202418,0,57581,823,638,1162
FY22,2022-Q2,2022-W24,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,978566,782853,195713,38370,3715,1132,727,1277
FY22,2022-Q2,2022-W25,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1006251,805001,201250,0,26722,963,810,1301
FY22,2022-Q2,2022-W26,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,1039294,831435,207859,0,32063,980,696,1265
FY22,2022-Q3,2022-W27,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1033524,826819,206705,11702,5224,708,685,1340
FY22,2022-Q3,2022-W28,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,995888,796710,199178,42482,4083,763,695,1199
FY22,2022-Q3,2022-W29,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1014606,811685,202921,0,18076,642,717,1122
FY22,2022-Q3,2022-W30,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,990953,792762,198191,29548,4770,1125,698,1422
FY22,2022-Q3,2022-W31,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,993594,794875,198719,2811,4369,1083,634,1423
FY22,2022-Q3,2022-W32,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,1044686,835749,208937,0,50356,736,686,1403
FY22,2022-Q3,2022-W33,Server Line A,Server,Americas,Unit B,Premium Plus,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,1011058,808846,202212,38504,4189,687,740,1197
FY22,2022-Q3,2022-W34,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1047132,837706,209426,0,35142,932,649,1398
FY22,2022-Q3,2022-W35,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,1054519,843615,210904,0,6277,1110,819,1503
FY22,2022-Q3,2022-W36,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1072518,858014,214504,0,16931,1068,737,1481
FY22,2022-Q3,2022-W37,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1035442,828354,207088,42204,4304,824,827,1201
FY22,2022-Q3,2022-W38,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1037958,830366,207592,2954,4353,1117,648,1341
FY22,2022-Q3,2022-W39,Server Line A,Server,Americas,Unit B,Basic,Core,Parts Only,GCFA,Part/s dispatch,Actual,1107900,886320,221580,0,69122,820,722,1633
FY22,2022-Q4,2022-W40,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1054626,843701,210925,57372,3279,819,860,1298
FY22,2022-Q4,2022-W41,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1050455,840364,210091,9119,4258,690,737,1511
FY22,2022-Q4,2022-W42,Server Line A,Server,Americas,Unit A,Premium Flex,Core,Labour Only,non-GCFA,Break fix,Actual,1074127,859302,214825,0,22664,1008,662,1347
FY22,2022-Q4,2022-W43,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1050623,840498,210125,27531,3058,969,769,1441
FY22,2022-Q4,2022-W44,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1108862,887090,221772,0,56965,1274,880,1369
FY22,2022-Q4,2022-W45,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1071992,857594,214398,41790,3691,1229,673,1461
FY22,2022-Q4,2022-W46,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1069699,855759,213940,6959,3888,778,794,1396
FY22,2022-Q4,2022-W47,Server Line A,Server,Americas,Unit A,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1091512,873210,218302,0,20628,1185,696,1333
FY22,2022-Q4,2022-W48,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1106861,885489,221372,0,14640,709,895,1437
FY22,2022-Q4,2022-W49,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,1099691,879753,219938,13585,5512,903,694,1635
FY22,2022-Q4,2022-W50,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1103677,882942,220735,8,3259,735,720,1641
FY22,2022-Q4,2022-W51,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1131401,905121,226280,0,26568,1156,707,1323
FY22,2022-Q4,2022-W52,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1161179,928943,232236,0,28909,869,957,1653
FY23,2023-Q1,2023-W01,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1180981,944785,236196,0,18589,1213,929,1629
FY23,2023-Q1,2023-W02,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1127467,901974,225493,60310,5611,1185,708,1272
FY23,2023-Q1,2023-W03,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1131626,905301,226325,834,3852,1141,848,1394
FY23,2023-Q1,2023-W04,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,1150859,920687,230172,0,17959,1274,725,1352
FY23,2023-Q1,2023-W05,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1197753,958202,239551,0,45601,1293,988,1655
FY23,2023-Q1,2023-W06,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1156143,924914,231229,45896,3363,923,946,1664
FY23,2023-Q1,2023-W07,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1189496,951597,237899,0,32223,1130,876,1341
FY23,2023-Q1,2023-W08,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1204170,963336,240834,0,13757,917,806,1697
FY23,2023-Q1,2023-W09,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1158336,926669,231667,50516,3839,843,934,1508
FY23,2023-Q1,2023-W10,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1184138,947310,236828,0,24816,986,971,1623
FY23,2023-Q1,2023-W11,Server Line A,Server,Americas,Unit B,Basic,Core,Labour Only,Unknown,Break fix,Actual,1222661,978129,244532,0,37518,1005,880,1372
FY23,2023-Q1,2023-W12,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1183744,946995,236749,44608,4342,1349,925,1333
FY23,2023-Q1,2023-W13,Server Line A,Server,Americas,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1202540,962032,240508,0,17964,832,880,1333
FY23,2023-Q2,2023-W14,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1250188,1000150,250038,0,46788,860,873,1466
FY23,2023-Q2,2023-W15,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1228920,983136,245784,27612,5365,979,919,1620
FY23,2023-Q2,2023-W16,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1259327,1007462,251865,0,29291,1116,892,1593
FY23,2023-Q2,2023-W17,Server Line A,Server,Americas,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1218240,974592,243648,46221,4027,1107,978,1380
FY23,2023-Q2,2023-W18,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1258095,1006476,251619,0,38458,1397,938,1846
FY23,2023-Q2,2023-W19,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,1251153,1000922,250231,14223,5931,1350,1028,1387
FY23,2023-Q2,2023-W20,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,1284234,1027387,256847,0,32193,888,883,1596
FY23,2023-Q2,2023-W21,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1224344,979475,244869,66898,5859,1149,759,1805
FY23,2023-Q2,2023-W22,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1228404,982723,245681,1673,4768,965,909,1723
FY23,2023-Q2,2023-W23,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,Unknown,Break fix,Actual,1248014,998411,249603,0,18466,1144,902,1451
FY23,2023-Q2,2023-W24,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1306865,1045492,261373,0,58023,828,890,1528
FY23,2023-Q2,2023-W25,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1270567,1016454,254113,42718,4976,1444,963,1717
FY23,2023-Q2,2023-W26,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,1296987,1037590,259397,0,25172,1248,834,1496
FY23,2023-Q3,2023-W27,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1300451,1040361,260090,3565,6187,842,989,1473
FY23,2023-Q3,2023-W28,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1290727,1032582,258145,16648,5717,1207,799,1733
FY23,2023-Q3,2023-W29,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1304566,1043653,260913,0,12811,1028,808,1624
FY23,2023-Q3,2023-W30,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1319755,1055804,263951,0,13701,1488,1011,1755
FY23,2023-Q3,2023-W31,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1340589,1072471,268118,0,19474,1360,1020,1643
FY23,2023-Q3,2023-W32,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,1356765,1085412,271353,0,14604,1572,990,1811
FY23,2023-Q3,2023-W33,Server Line A,Server,Americas,Unit B,Premium Plus,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,1326373,1061098,265275,36442,4960,1090,971,1928
FY23,2023-Q3,2023-W34,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1303715,1042972,260743,28766,5055,1053,1002,1841
FY23,2023-Q3,2023-W35,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,1365499,1092399,273100,0,60761,1023,1117,1788
FY23,2023-Q3,2023-W36,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1371217,1096974,274243,2309,7106,921,989,1772
FY23,2023-Q3,2023-W37,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1373378,1098702,274676,4179,5081,1259,1039,1855
FY23,2023-Q3,2023-W38,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1368582,1094866,273716,13159,7062,1301,1055,1687
FY23,2023-Q3,2023-W39,Server Line A,Server,Americas,Unit B,Basic,Core,Parts Only,GCFA,Part/s dispatch,Actual,1423490,1138792,284698,0,53865,1043,889,1660
FY23,2023-Q4,2023-W40,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1400155,1120124,280031,29168,4920,913,991,1992
FY23,2023-Q4,2023-W41,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1419825,1135860,283965,0,18625,1045,959,1746
FY23,2023-Q4,2023-W42,Server Line A,Server,Americas,Unit A,Premium Flex,Core,Labour Only,non-GCFA,Break fix,Actual,1379642,1103714,275928,48487,6695,1609,864,1642
FY23,2023-Q4,2023-W43,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1370000,1096000,274000,16630,5835,1153,1032,1797
FY23,2023-Q4,2023-W44,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1383803,1107042,276761,0,12912,891,1130,1962
FY23,2023-Q4,2023-W45,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1433205,1146564,286641,0,47963,1439,1022,1915
FY23,2023-Q4,2023-W46,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1384921,1107937,276984,56540,6659,1597,1102,1751
FY23,2023-Q4,2023-W47,Server Line A,Server,Americas,Unit A,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1421824,1137459,284365,0,35629,1274,939,1966
FY23,2023-Q4,2023-W48,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1477692,1182154,295538,0,54555,1313,1142,1728
FY23,2023-Q4,2023-W49,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,1474591,1179673,294918,11027,6300,1626,917,1654
FY23,2023-Q4,2023-W50,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1485971,1188777,297194,0,9968,1412,1135,1959
FY23,2023-Q4,2023-W51,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1431030,1144824,286206,62848,6351,1556,939,1602
FY23,2023-Q4,2023-W52,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1462924,1170339,292585,0,30477,1417,1067,1829
FY24,2024-Q1,2024-W01,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1478592,1182874,295718,0,14653,1015,1087,2105
FY24,2024-Q1,2024-W02,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1481015,1184812,296203,4595,5609,1409,1216,2170
FY24,2024-Q1,2024-W03,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1483438,1186750,296688,2765,4197,991,939,2194
FY24,2024-Q1,2024-W04,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,1485861,1188689,297172,4728,5779,1372,1189,2125
FY24,2024-Q1,2024-W05,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1496667,1197334,299333,0,9795,1011,1074,1884
FY24,2024-Q1,2024-W06,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1503281,1202625,300656,927,5800,1741,1075,2152
FY24,2024-Q1,2024-W07,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1509896,1207917,301979,0,5012,1603,1047,2190
FY24,2024-Q1,2024-W08,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1516510,1213208,303302,938,6162,1390,1046,2039
FY24,2024-Q1,2024-W09,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1523124,1218499,304625,2352,7564,1402,1056,1982
FY24,2024-Q1,2024-W10,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1538121,1230497,307624,0,13735,1262,1035,2281
FY24,2024-Q1,2024-W11,Server Line A,Server,Americas,Unit B,Basic,Core,Labour Only,Unknown,Break fix,Actual,1548927,1239142,309785,0,9764,1042,1245,2010
FY24,2024-Q1,2024-W12,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1559733,1247786,311947,0,9013,1793,1121,2076
FY24,2024-Q1,2024-W13,Server Line A,Server,Americas,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1589400,1271520,317880,0,28544,1123,1084,1793
FY24,2024-Q2,2024-W14,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1574465,1259572,314893,23101,6861,1305,1046,1821
FY24,2024-Q2,2024-W15,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1577116,1261693,315423,5845,7379,1117,1155,1750
FY24,2024-Q2,2024-W16,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1579767,1263814,315953,5269,6102,1818,1066,2277
FY24,2024-Q2,2024-W17,Server Line A,Server,Americas,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1582418,1265934,316484,4359,5717,1293,1245,1786
FY24,2024-Q2,2024-W18,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1593816,1275053,318763,0,9957,1441,1071,2136
FY24,2024-Q2,2024-W19,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,1600840,1280672,320168,1294,6720,1598,1120,2119
FY24,2024-Q2,2024-W20,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,1607865,1286292,321573,2381,8282,1124,1272,2370
FY24,2024-Q2,2024-W21,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1614889,1291911,322978,285,5553,1756,1106,2313
FY24,2024-Q2,2024-W22,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1621913,1297530,324383,2603,8252,1375,1035,2343
FY24,2024-Q2,2024-W23,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,Unknown,Break fix,Actual,1637685,1310148,327537,0,14015,1757,1313,1997
FY24,2024-Q2,2024-W24,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1649083,1319266,329817,0,10152,1246,1113,2015
FY24,2024-Q2,2024-W25,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1660481,1328385,332096,0,9797,1601,1344,2171
FY24,2024-Q2,2024-W26,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Labour Only,non-GCFA,Break fix,Actual,1691560,1353248,338312,0,29484,1595,1384,2304
FY24,2024-Q3,2024-W27,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1675623,1340498,335125,24853,7834,1082,1051,1919
FY24,2024-Q3,2024-W28,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1678274,1342619,335655,3791,5370,1072,1348,1966
FY24,2024-Q3,2024-W29,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1680925,1344740,336185,4080,5652,1079,1057,2024
FY24,2024-Q3,2024-W30,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1683576,1346861,336715,7156,7872,1935,1299,2069
FY24,2024-Q3,2024-W31,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1694974,1355979,338995,0,9566,1832,1398,1920
FY24,2024-Q3,2024-W32,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,Unknown,Break fix,Actual,1701998,1361598,340400,349,6005,1368,1332,2312
FY24,2024-Q3,2024-W33,Server Line A,Server,Americas,Unit B,Premium Plus,Core,Parts + Labour,Unknown,Part/s dispatch,Actual,1709023,1367218,341805,968,6173,1820,1118,2199
FY24,2024-Q3,2024-W34,Server Line A,Server,Americas,Unit B,Basic,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1716047,1372838,343209,1164,6639,1549,1194,2534
FY24,2024-Q3,2024-W35,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,1723071,1378457,344614,221,5887,1358,1167,2234
FY24,2024-Q3,2024-W36,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1738843,1391074,347769,0,13953,1819,1187,2578
FY24,2024-Q3,2024-W37,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1750240,1400192,350048,0,9741,1656,1443,1989
FY24,2024-Q3,2024-W38,Server Line A,Server,Americas,Unit A,Premium Plus,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1761639,1409311,352328,0,9625,1774,1267,2283
FY24,2024-Q3,2024-W39,Server Line A,Server,Americas,Unit B,Basic,Core,Parts Only,GCFA,Part/s dispatch,Actual,1792718,1434174,358544,0,29605,1474,1435,2051
FY24,2024-Q4,2024-W40,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1779059,1423247,355812,21217,5724,1834,1358,2164
FY24,2024-Q4,2024-W41,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1782849,1426279,356570,7131,9064,1857,1117,2063
FY24,2024-Q4,2024-W42,Server Line A,Server,Americas,Unit A,Premium Flex,Core,Labour Only,non-GCFA,Break fix,Actual,1786638,1429310,357328,3291,5199,1881,1385,2512
FY24,2024-Q4,2024-W43,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1790428,1432342,358086,6184,8622,1352,1254,2260
FY24,2024-Q4,2024-W44,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1804788,1443830,360958,0,13097,1263,1174,2548
