FY,Fiscal Quarter,Fiscal Week,LOB,Category,Region,Business Unit,Warranty Type,Core/Upsell,Service Type,GCFA Type,W/O Type,Series,ASU,APOS,Renewals,Expiring,New Contract,APOS Renewal,Dispatches,SRs,Segment
FY23,2023-Q1,2023-W01,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,7436,485,0,0,Field
FY23,2023-Q1,2023-W02,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1127467,901974,225493,60310,3367,711,708,1272,Tech
FY23,2023-Q1,2023-W02,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,2244,474,0,0,Field
FY23,2023-Q1,2023-W03,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1131626,905301,226325,834,2311,685,848,1394,Tech
FY23,2023-Q1,2023-W03,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1541,456,0,0,Field
FY23,2023-Q1,2023-W04,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,1150859,920687,230172,0,10775,764,725,1352,Tech
FY23,2023-Q1,2023-W04,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts Only,Unknown,Part/s dispatch,Actual,0,0,0,0,7184,510,0,0,Field
FY23,2023-Q1,2023-W05,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1197753,958202,239551,0,27361,776,988,1655,Tech
FY23,2023-Q1,2023-W05,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,18240,517,0,0,Field
FY23,2023-Q1,2023-W06,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1156143,924914,231229,45896,2018,554,946,1664,Tech
FY23,2023-Q1,2023-W06,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1345,369,0,0,Field
FY23,2023-Q1,2023-W07,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1189496,951597,237899,0,19334,678,876,1341,Tech
FY23,2023-Q1,2023-W07,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,12889,452,0,0,Field
FY23,2023-Q1,2023-W08,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1204170,963336,240834,0,8254,550,806,1697,Tech
FY23,2023-Q1,2023-W08,Server Line A,Server,Americas,Unit B,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,5503,367,0,0,Field
FY23,2023-Q1,2023-W09,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1158336,926669,231667,50516,2303,506,934,1508,Tech
FY23,2023-Q1,2023-W09,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1536,337,0,0,Field
FY23,2023-Q1,2023-W10,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1184138,947310,236828,0,14890,592,971,1623,Tech
FY23,2023-Q1,2023-W10,Server Line A,Server,Americas,Unit A,Premium Flex,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,9926,394,0,0,Field
FY23,2023-Q1,2023-W11,Server Line A,Server,Americas,Unit B,Basic,Core,Labour Only,Unknown,Break fix,Actual,1222661,978129,244532,0,22511,603,880,1372,Tech
FY23,2023-Q1,2023-W11,Server Line A,Server,Americas,Unit B,Basic,Core,Labour Only,Unknown,Break fix,Actual,0,0,0,0,15007,402,0,0,Field
FY23,2023-Q1,2023-W12,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,1183744,946995,236749,44608,2605,809,925,1333,Tech
FY23,2023-Q1,2023-W12,Server Line A,Server,Americas,Unit A,Premium,Upsell,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1737,540,0,0,Field
FY23,2023-Q1,2023-W13,Server Line A,Server,Americas,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,1202540,962032,240508,0,10778,499,880,1333,Tech
FY23,2023-Q1,2023-W13,Server Line A,Server,Americas,Unit B,Premium,Core,Parts Only,non-GCFA,Part/s dispatch,Actual,0,0,0,0,7186,333,0,0,Field
FY23,2023-Q2,2023-W14,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,1250188,1000150,250038,0,28073,516,873,1466,Tech
FY23,2023-Q2,2023-W14,Server Line A,Server,Americas,Unit A,Premium,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,18715,344,0,0,Field
FY23,2023-Q2,2023-W15,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1228920,983136,245784,27612,3219,587,919,1620,Tech
FY23,2023-Q2,2023-W15,Server Line A,Server,Americas,Unit A,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,2146,392,0,0,Field
FY23,2023-Q2,2023-W16,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1259327,1007462,251865,0,17575,670,892,1593,Tech
FY23,2023-Q2,2023-W16,Server Line A,Server,Americas,Unit A,Basic,Upsell,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,11716,446,0,0,Field
FY23,2023-Q2,2023-W17,Server Line A,Server,Americas,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,1218240,974592,243648,46221,2416,664,978,1380,Tech
FY23,2023-Q2,2023-W17,Server Line A,Server,Americas,Unit B,Premium,Core,Parts + Labour,non-GCFA,Part/s dispatch,Actual,0,0,0,0,1611,443,0,0,Field
FY23,2023-Q2,2023-W18,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,1258095,1006476,251619,0,23075,838,938,1846,Tech
FY23,2023-Q2,2023-W18,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,15383,559,0,0,Field
FY23,2023-Q2,2023-W19,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,1251153,1000922,250231,14223,3559,810,1028,1387,Tech
FY23,2023-Q2,2023-W19,Server Line A,Server,Americas,Unit B,Premium Plus,Upsell,Parts Only,GCFA,Part/s dispatch,Actual,0,0,0,0,2372,540,0,0,Field
FY23,2023-Q2,2023-W20,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,1284234,1027387,256847,0,19316,533,883,1596,Tech
FY23,2023-Q2,2023-W20,Server Line A,Server,Americas,Unit A,Premium Plus,Upsell,Parts + Labour,GCFA,Part/s dispatch,Actual,0,0,0,0,12877,355,0,0,Field
FY23,2023-Q2,2023-W21,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,1224344,979475,244869,66898,3515,689,759,1805,Tech
FY23,2023-Q2,2023-W21,Server Line A,Server,Americas,Unit A,Basic,Core,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,2344,460,0,0,Field
FY23,2023-Q2,2023-W22,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,1228404,982723,245681,1673,2861,579,909,1723,Tech
FY23,2023-Q2,2023-W22,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,non-GCFA,Break fix,Actual,0,0,0,0,1907,386,0,0,Field
FY23,2023-Q2,2023-W23,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,Unknown,Break fix,Actual,1248014,998411,249603,0,11080,686,902,1451,Tech
FY23,2023-Q2,2023-W23,Server Line A,Server,Americas,Unit A,Premium,Upsell,Labour Only,Unknown,Break fix,Actual,0,0,0,0,7386,458,0,0,Field
